Proffesion;Sex;Region;2005;2007;2009;2011
;;Ямало-Ненецкий автономный округ;8,816;19,443;26,148;35,526.0300
;;Ярославская область;4,47;7,094;9,749;13,735.9100
;мужчины;Алтайский край;4,566;7,038;9,643;10,766.2800
;;Амурская область;5,788;10,516;13,015;19,279.7300
;;Архангельская область;7,833;10,614;15,554;18,977.0400
;;Архангельская область (без АО);;;;17,761.7000
;;Астраханская область;4,992;7,592;10,771;11,388.8200
;;Белгородская область;5,391;8,788;11,368;15,899.0400
;;Брянская область;3,787;7,235;8,558;10,114.2600
;;Владимирская область;4,708;8,314;11,088;15,935.2300
;;Волгоградская область;5,469;8,019;12,023;13,714.5500
;;Вологодская область;5,824;8,756;11,017;14,011.1500
;;Воронежская область;6,073;8,015;12,176;13,698.8400
;;г.Москва;11,25;19,808;33,124;34,963.7800
;;г.Санкт-Петербург;9,25;15,973;22,466;27,363.4100
;;Дальневосточный федеральный округ;7,77;12,584;17,792;22,049.6300
;;Еврейская автономная область;5,197;8,117;10,368;13,990.5200
;;Забайкальский край;12,083;9,654;10,44;13,767.8700
;;Ивановская область;4,892;8,531;12,004;14,105.1500
;;Иркутская область;7,059;10,066;13,954;17,492.0100
;;Кабардино-Балкарская Республика;4,465;6,693;9,862;10,439.7300
;;Калининградская область;6,011;11,996;14,231;16,035.3200
;;Калужская область;6,078;8,924;20,266;20,681.3700
;;Камчатский край;11,361;18,089;25,988;34,222.4500
;;Карачаево-Черкесская Республика;3,739;5,233;7,853;8,411.4500
;;Кемеровская область;5,756;9,734;14,559;17,339.9600
;;Кировская область;4,568;5,938;11,813;11,712.7500
;;Костромская область;3,494;5,826;9,181;10,083.2900
;;Краснодарский край;5,169;10,2;11,412;12,232.2800
;;Красноярский край;7,309;10,508;13,128;16,165.7900
;;Курганская область;4,709;7,8;8,984;13,392
;;Курская область;3,967;7,046;8,218;14,873.0600
;;Ленинградская область;5,451;8,67;12,432;14,946.3800
;;Липецкая область;4,105;6,761;9,14;10,445.0200
;;Магаданская область;8,004;19,654;20,179;33,444.6800
;;Московская область;7,765;13,835;16,581;22,415.9600
;;Мурманская область;9,816;12,791;16,978;21,217.4900
;;Ненецкий авт.округ;14,434;13,283;24,78;35,430.6300
;;Нижегородская область;4,613;9,159;11,252;13,476.0700
;;Новгородская область;5,532;9,568;11,548;13,236.0600
;;Новосибирская область;6,364;11,347;15,957;17,957.4600
;;Омская область;5,752;8,004;12,114;15,115.2700
;;Оренбургская область;4,706;4,506;9,364;11,683.1700
;;Орловская область;3,834;7,111;9,717;12,741.7800
;;Пензенская область;4,335;6,589;10,06;12,111.8700
;;Пермский край;6,214;9,011;11,986;14,105.9800
;;Приволжский федеральный округ;4,903;7,658;10,794;13,493.7100
;;Приморский край;6,72;10,49;16,611;20,137.6200
;;Псковская область;4,398;7,131;10,804;14,445.1000
;;Республика Адыгея;3,411;6,101;9,863;13,303.7300
;;Республика Алтай;4,939;6,213;7,534;10,208.7500
;;Республика Башкортостан;4,889;8,502;11,201;14,641.4800
;;Республика Бурятия;5,057;9,799;11,459;15,470.8200
;;Республика Дагестан;3,16;4,316;6,929;8,980.3500
;;Республика Ингушетия;3,739;6,143;8,385;12,489.0400
;;Республика Калмыкия;3,509;5,793;8,018;9,641.4300
;;Республика Карелия;5,949;11,751;10,625;15,744.8700
;;Республика Коми;9,241;12,601;13,324;19,450.1700
;;Республика Марий Эл;4,567;7,492;10,864;12,697.9100
;;Республика Мордовия;4,446;6,471;8,902;11,144.0500
;;Республика Саха (Якутия);8,256;12,615;17,511;21,194.8400
;;Республика Северная Осетия - Алания;3,671;5,375;8,391;10,767.4000
;;Республика Татарстан;5,146;7,734;9,917;13,210.1300
;;Республика Тыва;5,313;6,446;10,078;10,780.8900
;;Республика Хакасия;5,79;7,499;10,828;13,262.0400
;;Российская Федерация;6,221;9,844;13,958;16,932.1400
;;Ростовская область;4,623;8,803;12,483;14,446.3600
;;Рязанская область;6,249;7,716;8,447;13,766.3000
;;Самарская область;6,666;9,339;13,037;17,067.9500
;;Саратовская область;3,492;6,866;10,593;12,162.7100
;;Сахалинская область;8,375;15,125;22,264;25,787.7900
;;Свердловская область;6,772;12,279;14,707;17,152.7100
;;Северо-Западный федеральный округ;7,999;12,98;17,771;21,097.1400
;;Северо-Кавказский федеральный округ;3,485;5,435;8,208;10,668.6800
;;Сибирский федеральный округ;6,51;9,568;13,097;15,533.6500
;;Смоленская область;4,417;7,416;9,598;11,613.1400
;;Ставропольский край;3,572;8,464;10,042;13,520.2000
;;Тамбовская область;3,986;6,071;9,164;12,550.6600
;;Тверская область;4,47;8,249;12,249;12,622.9800
;;Томская область;6,73;13,431;18,172;20,814.6300
;;Тульская область;4,666;7,555;11,168;13,670.3700
;;Тюменская область;10,885;15,139;22,527;28,356.4900
;;Тюменская область (без АО);;;;24,116.5500
;;Тюменская область (частично);;;18,100.1300;
;;Удмуртская Республика;4,772;7,076;10,189;14,087.8800
;;Ульяновская область;4,34;7,131;10,04;12,845.2900
;;Уральский федеральный округ;7,458;11,159;15,17;18,191.6700
;;Хабаровский край;8,069;12,921;17,595;21,255.3300
;;Ханты-Мансийский автономный округ-Югра;14,118;18,312;24,066;28,293.1500
;;Центральный федеральный округ;7,131;11,744;17,753;21,100.7300
;;Челябинская область;6,044;8,22;11,185;12,797.5800
;;Чеченская Республика;;;8,686;10,538.6500
;;Чувашская Республика;4,007;6,779;10,066;11,494.5400
;;Чукотский автономный округ;12,666;21,065;20,271;23,603.8900
;;Южный федеральный  округ (с 2010 года);;;;13,204.8300
;;Южный федеральный округ (по 2009 год);4,923;8,469;11,725;
;;Ямало-Ненецкий автономный округ;11,844;19,965;29,749;40,952.0900
;;Ярославская область;5,559;8,745;11,718;15,091.7500
Раздел N Здравоохранение и предоставление социальных  услуг;Всего;Алтайский край;4,756;7,493;9,667;11,829.1700
;;Амурская область;6,252;10,75;14,262;16,500.0100
;;Архангельская область;6,534;10,615;13,648;16,520.7600
;;Архангельская область (без АО);;;;15,330.9000
;;Астраханская область;3,869;6,477;10,379;11,103.5100
;;Белгородская область;4,541;7,549;10,21;14,127.6500
;;Брянская область;3,345;6,779;7,827;9,688.1900
;;Владимирская область;4,866;7,521;11,953;14,245.4300
;;Волгоградская область;4,513;7,328;10,02;12,663.8700
;;Вологодская область;6,079;9,065;11,143;13,833.3000
;;Воронежская область;4,053;6,488;9,377;12,061.0900
;;г.Москва;13,761;24,911;37,391;41,711.8200
;;г.Санкт-Петербург;9,167;15,297;21,792;26,009.2400
;;Дальневосточный федеральный округ;8,406;13,126;17,519;21,549.4300
;;Еврейская автономная область;6,438;10,334;12,198;16,997.5700
;;Забайкальский край;5,985;9,346;11,123;13,686.2700
;;Ивановская область;3,915;6,451;10,305;12,181.1200
;;Иркутская область;6,704;10,963;13,253;16,685.7800
;;Кабардино-Балкарская Республика;3,308;6,26;8,113;8,532.4500
;;Калининградская область;5,841;10,968;13,54;18,908.6100
;;Калужская область;6,286;10,495;13,502;15,475.9600
;;Камчатский край;13,272;19,314;24,439;31,994.1000
;;Карачаево-Черкесская Республика;3,861;5,811;7,852;9,291.3800
;;Кемеровская область;5,742;9,571;12,448;14,538.6300
;;Кировская область;5,015;6,667;9,935;11,290.8300
;;Костромская область;3,773;6,22;10,11;11,824.9600
;;Краснодарский край;5,066;7,559;10,982;13,681.2700
;;Красноярский край;7,265;11,096;14,116;17,331.4000
;;Курганская область;4,805;6,917;9,1;14,145.1300
;;Курская область;4,157;6,555;8,196;11,411.7100
;;Ленинградская область;6,692;10,516;15,774;18,417.4900
;;Липецкая область;5,485;7,394;9,974;11,699.8500
;;Магаданская область;10,521;18,16;19,56;28,773.5800
;;Московская область;8,071;16,428;20,589;22,921.6400
;;Мурманская область;9,369;14,107;17,171;21,100.8300
;;Ненецкий авт.округ;10,331;19,11;34,275;48,678.2600
;;Нижегородская область;4,867;7,222;11,695;12,845.7700
;;Новгородская область;4,718;8,364;11,702;15,773.2500
;;Новосибирская область;5,882;9,996;15,44;18,169.2300
;;Омская область;4,588;7,94;9,918;12,894.7400
;;Оренбургская область;4,206;6,525;9,387;10,136.6600
;;Орловская область;3,78;6,511;8,137;10,159.1900
;;Пензенская область;3,353;6,592;10,178;11,761.7200
;;Пермский край;5,122;8,57;11,169;14,101.2500
;;Приволжский федеральный округ;4,588;7,545;10,512;12,453.1900
;;Приморский край;6,865;11,272;14,548;18,596.5500
;;Псковская область;4,519;7,275;9,818;12,396.9600
;;Республика Адыгея;3,782;6,157;8,89;10,613.2900
;;Республика Алтай;5,356;8,143;10,695;13,879.2700
;;Республика Башкортостан;5,419;8,479;10,444;13,554.9700
;;Республика Бурятия;5,497;8,353;12,685;14,558.6900
;;Республика Дагестан;3,355;4,49;7,871;9,406.4400
;;Республика Ингушетия;4,364;6,665;9,704;12,060.4800
;;Республика Калмыкия;4,758;5,936;7,528;10,302.3300
;;Республика Карелия;6,903;9,969;15,578;17,468.8000
;;Республика Коми;6,693;11,802;16,363;20,028.4400
;;Республика Марий Эл;3,854;6,04;7,739;9,998.9500
;;Республика Мордовия;3,657;5,867;8,455;10,651.6000
;;Республика Саха (Якутия);8,869;13,711;18,135;21,794.4500
;;Республика Северная Осетия - Алания;3,826;5,364;7,605;8,850.8700
;;Республика Татарстан;4,119;7,173;10,014;13,385.7600
;;Республика Тыва;6,364;7,787;11,561;14,299.6900
;;Республика Хакасия;5,845;9,514;11,955;14,247.4700
;;Российская Федерация;6,119;10,15;14,294;16,659.5000
;;Ростовская область;3,9;8,35;11,495;13,084.0200
;;Рязанская область;4,004;7,282;9,686;12,996.7800
;;Самарская область;4,726;9,617;12,175;14,507.2300
;;Саратовская область;3,883;6,58;10,495;12,016.4100
;;Сахалинская область;8,951;17,671;27,494;30,779.1900
;;Свердловская область;7,054;13,172;14,813;20,502.4100
;;Северо-Западный федеральный округ;7,307;11,916;16,529;20,004.6800
;;Северо-Кавказский федеральный округ;4,056;6,465;9,147;10,899.6100
;;Сибирский федеральный округ;5,894;9,531;12,442;15,269.8600
;;Смоленская область;4,145;6,258;10,019;10,126.8100
;;Ставропольский край;4,801;8,089;11,122;13,986.5300
;;Тамбовская область;3,686;6,261;8,619;11,256.0600
;;Тверская область;4,817;8,208;11,377;12,165.0400
;;Томская область;6,275;10,871;13,263;18,055.7200
;;Тульская область;4,461;7,524;11,082;13,130.7600
;;Тюменская область;11,447;17,868;23,537;31,267.4300
;;Тюменская область (без АО);;;;25,430.7200
;;Тюменская область (частично);;;20,343.2000;
;;Удмуртская Республика;5,281;8,426;11,626;10,668.8400
;;Ульяновская область;4,139;6,665;9,972;12,253.6000
;;Уральский федеральный округ;7,608;12,83;16,068;22,123.2300
;;Хабаровский край;8,721;11,519;15,995;19,782.8300
;;Ханты-Мансийский автономный округ-Югра;13,925;21,721;24,919;33,067.8700
;;Центральный федеральный округ;7,237;12,306;19;19,830.7100
;;Челябинская область;5,289;8,682;11,294;15,406.8600
;;Чеченская Республика;;;7,688;8,480.7900
;;Чувашская Республика;4,421;7,435;9,19;10,742.7800
;;Чукотский автономный округ;16,821;27,924;37,753;37,954.0500
;;Южный федеральный  округ (с 2010 года);;;;12,914.6900
;;Южный федеральный округ (по 2009 год);4,474;7,547;10,704;
;;Ямало-Ненецкий автономный округ;14,615;18,469;26,942;40,895.9000
;;Ярославская область;5,834;8,475;10,165;13,109.3000
;женщины;Алтайский край;4,507;7,315;9,186;11,288.4200
;;Амурская область;6,061;10,513;13,853;16,142.6800
;;Архангельская область;6,377;10,175;12,933;15,648.8300
;;Архангельская область (без АО);;;;14,654.6200
;;Астраханская область;3,83;6,424;9,988;11,031.6200
;;Белгородская область;4,314;7,151;9,894;13,344.0300
;;Брянская область;3,28;6,635;7,548;9,397.7800
;;Владимирская область;4,64;7,316;11,943;14,006.8400
;;Волгоградская область;4,295;7,035;9,698;12,137.6000
;;Вологодская область;5,845;8,853;10,921;13,347.4400
;;Воронежская область;3,982;6,347;9,255;11,919.0300
;;г.Москва;13,588;23,982;36,481;40,388.7100
;;г.Санкт-Петербург;8,868;14,926;20,308;24,652.1100
;;Дальневосточный федеральный округ;8,211;12,874;17,104;21,084.2700
;;Еврейская автономная область;6,231;10,183;11,872;15,691.5100
;;Забайкальский край;5,911;9,233;10,957;13,359.4200
;;Ивановская область;3,799;6,228;9,869;11,965.2300
;;Иркутская область;6,505;10,67;12,925;16,453.7400
;;Кабардино-Балкарская Республика;3,132;6,302;8,058;8,519.4200
;;Калининградская область;5,625;10,612;13,026;18,483.5400
;;Калужская область;6,1;9,903;12,758;14,909.6300
;;Камчатский край;13,06;18,752;24,404;31,303.8800
;;Карачаево-Черкесская Республика;3,741;5,579;7,728;8,735.8200
;;Кемеровская область;5,566;9,392;12,028;13,926.8500
;;Кировская область;4,708;6,582;9,302;10,885.2300
;;Костромская область;3,565;5,934;9,697;10,954.4300
;;Краснодарский край;4,847;7,284;10,789;13,261.2900
;;Красноярский край;7,077;10,832;13,739;17,007.5000
;;Курганская область;4,669;6,673;8,799;13,776.9600
;;Курская область;4,061;6,358;7,957;10,839.6000
;;Ленинградская область;6,667;10,426;15,657;17,448.0600
;;Липецкая область;5,265;7,121;9,5;11,482.7900
;;Магаданская область;10,193;17,673;19,253;28,494.4500
;;Московская область;7,736;16,151;20,037;22,506.8300
;;Мурманская область;9,061;13,457;16,638;20,672.1200
;;Ненецкий авт.округ;10,052;19,656;34,695;47,681.6900
;;Нижегородская область;4,673;7,127;11,409;12,407.0800
;;Новгородская область;4,579;8,155;11,276;15,185.3500
;;Новосибирская область;5,704;9,779;14,739;17,449.8400
;;Омская область;4,457;7,752;9,695;12,674.0800
;;Оренбургская область;3,903;6,275;8,952;9,863.1700
;;Орловская область;3,659;6,355;7,879;9,937.3900
;;Пензенская область;3,268;6,465;9,785;11,390.4100
;;Пермский край;4,896;8,328;10,806;13,746.7000
;;Приволжский федеральный округ;4,395;7,34;10,144;12,099.3900
;;Приморский край;6,654;11,056;14,17;18,253.0100
;;Псковская область;4,313;7,115;9,752;11,973.7400
;;Республика Адыгея;3,708;6,067;8,61;10,633.7900
;;Республика Алтай;5,278;8,127;10,544;13,810.7700
;;Республика Башкортостан;5,345;8,371;10,053;13,295.4700
;;Республика Бурятия;5,359;8,032;12,528;14,607.0500
;;Республика Дагестан;3,268;4,414;7,786;9,127.2300
;;Республика Ингушетия;4,501;6,679;9,359;11,913.2900
;;Республика Калмыкия;4,812;5,879;7,383;10,084.0400
;;Республика Карелия;6,815;9,764;15,199;17,045.1100
;;Республика Коми;6,339;11,481;15,923;19,575.1800
;;Республика Марий Эл;3,724;5,898;7,563;9,728.5600
;;Республика Мордовия;3,522;5,657;8,262;10,389.2000
;;Республика Саха (Якутия);8,792;13,499;18,144;21,392.7200
;;Республика Северная Осетия - Алания;3,769;5,355;7,534;8,602.4300
;;Республика Татарстан;3,947;6,869;9,698;12,897.6200
;;Республика Тыва;6,036;8,023;11,837;14,757.9900
;;Республика Хакасия;5,672;9,272;11,679;13,852.6800
;;Российская Федерация;5,949;9,879;13,848;16,112.7100
;;Ростовская область;3,761;8,22;11,358;12,862.7100
;;Рязанская область;3,894;7,058;9,454;12,761.2100
;;Самарская область;4,533;9,347;11,719;14,121.2100
;;Саратовская область;3,709;6,432;10,234;11,719.3000
;;Сахалинская область;8,604;17,028;26,947;30,385.2000
;;Свердловская область;6,732;12,59;14,248;19,604.2100
;;Северо-Западный федеральный округ;7,064;11,542;15,683;19,057.9500
;;Северо-Кавказский федеральный округ;3,915;6,355;9,013;10,578.5700
;;Сибирский федеральный округ;5,721;9,339;12,07;14,871.0600
;;Смоленская область;4,004;6,104;9,765;9,987.2100
;;Ставропольский край;4,621;7,88;10,85;13,653.6500
;;Тамбовская область;3,61;6,105;8,416;11,038.2200
;;Тверская область;4,687;8,003;11,119;11,868.5300
;;Томская область;6,207;10,643;12,833;17,415.5400
;;Тульская область;4,246;7,224;10,753;12,800.8900
;;Тюменская область;11,331;17,092;22,686;29,924.3000
;;Тюменская область (без АО);;;;22,970.1200
;;Тюменская область (частично);;;19,120.6100;
;;Удмуртская Республика;5,033;8,181;11,059;10,406.8700
;;Ульяновская область;4,054;6,595;9,601;12,111.9600
;;Уральский федеральный округ;7,408;12,267;15,52;21,241.0900
;;Хабаровский край;8,58;11,433;15,27;19,163.3500
;;Ханты-Мансийский автономный округ-Югра;13,833;21,02;24,185;32,272.7300
;;Центральный федеральный округ;7,072;11,93;18,413;19,089.0300
;;Челябинская область;5,038;8,286;10,966;14,895.6600
;;Чеченская Республика;;;7,576;8,191.7800
;;Чувашская Республика;4,267;7,251;8,925;10,456.3300
;;Чукотский автономный округ;17,18;27,517;37,185;37,642.1700
;;Южный федеральный  округ (с 2010 года);;;;12,585.7500
;;Южный федеральный округ (по 2009 год);4,296;7,35;10,47;
;;Ямало-Ненецкий автономный округ;14,149;16,916;26,138;39,307.9000
;;Ярославская область;5,594;8,123;9,724;12,695.6500
;мужчины;Алтайский край;5,932;8,288;12,043;14,058.1400
;;Амурская область;7,299;12,132;16,516;18,650.9300
;;Архангельская область;7,526;13,457;18,369;21,974.7600
;;Архангельская область (без АО);;;;19,745.2300
;;Астраханская область;4,015;6,672;12,13;11,346.7800
;;Белгородская область;5,526;9,318;11,492;17,619.9800
;;Брянская область;3,765;7,387;8,98;10,867.5500
;;Владимирская область;6,271;8,699;12,019;15,441.2000
;;Волгоградская область;5,458;9,093;11,86;15,451.0900
;;Вологодская область;7,798;10,302;12,649;16,880.3000
;;Воронежская область;4,406;7,166;9,935;12,750.8800
;;г.Москва;14,777;29,909;41,707;46,919.8400
;;г.Санкт-Петербург;10,682;16,929;27,626;31,449.0600
;;Дальневосточный федеральный округ;9,628;14,662;19,89;24,196
;;Еврейская автономная область;7,429;10,985;13,974;22,135.8300
;;Забайкальский край;6,2;9,782;11,976;14,746.7700
;;Ивановская область;4,419;7,637;12,76;13,358.7600
;;Иркутская область;7,64;12,378;14,93;17,930.5300
;;Кабардино-Балкарская Республика;4,341;5,965;8,351;8,600.0900
;;Калининградская область;7,133;13,132;16,062;21,245.0900
;;Калужская область;7,185;13,534;17,491;17,765.7600
;;Камчатский край;15,19;23,019;24,624;37,668.8300
;;Карачаево-Черкесская Республика;4,502;6,823;8,162;11,347.0700
;;Кемеровская область;6,732;10,826;15,4;17,945.3700
;;Кировская область;6,746;7,198;13,01;13,579.0200
;;Костромская область;5,131;8,284;12,682;18,522.3900
;;Краснодарский край;5,988;8,777;11,925;15,436.9800
;;Красноярский край;8,35;12,555;15,951;18,798.5200
;;Курганская область;8,437;8,074;18,383;15,998.7000
;;Курская область;4,669;7,47;9,687;13,744.6400
;;Ленинградская область;6,855;11,192;16,43;23,449.3600
;;Липецкая область;6,43;9,246;12,716;13,097.2100
;;Магаданская область;12,712;21,26;21,708;30,322.4900
;;Московская область;9,797;18,102;23,584;25,002.3400
;;Мурманская область;11,445;18,053;19,947;23,969.7900
;;Ненецкий авт.округ;12,176;17,564;32,947;51,337.1600
;;Нижегородская область;6,282;7,818;13,643;14,967.6300
;;Новгородская область;5,538;9,451;13,997;18,707.1800
;;Новосибирская область;6,954;11,083;18,814;21,458.2000
;;Омская область;5,304;8,794;11,079;14,114.9700
;;Оренбургская область;5,558;8,001;11,412;11,795.6900
;;Орловская область;4,291;7,259;9,587;11,338.7000
;;Пензенская область;3,765;7,297;12,727;14,031.6500
;;Пермский край;6,344;10,039;13,391;15,775.9200
;;Приволжский федеральный округ;5,561;8,63;12,467;14,366.6900
;;Приморский край;8,322;12,735;16,869;20,670.2000
;;Псковская область;5,761;8,247;10,149;14,691.2300
;;Республика Адыгея;4,193;6,614;10,437;10,499.4900
;;Республика Алтай;5,681;8,223;11,349;14,107.1800
;;Республика Башкортостан;5,606;8,809;11,944;14,556.8900
;;Республика Бурятия;6,065;10,134;13,438;14,387.1100
;;Республика Дагестан;3,774;4,778;8,154;10,536.7800
;;Республика Ингушетия;3,557;6,603;10,984;12,564.6400
;;Республика Калмыкия;4,372;6,343;8,465;11,252.2400
;;Республика Карелия;7,557;11,388;18,594;19,850.2400
;;Республика Коми;8,929;14,163;19,259;22,974.3400
;;Республика Марий Эл;4,724;6,913;8,931;11,641.1500
;;Республика Мордовия;4,551;7,092;9,553;12,328.1400
;;Республика Саха (Якутия);9,303;14,877;18,1;23,643.1100
;;Республика Северная Осетия - Алания;4,173;5,402;8,026;10,091.5000
;;Республика Татарстан;5,226;9,035;11,692;16,643.5900
;;Республика Тыва;8,179;6,732;10,289;12,595.1300
;;Республика Хакасия;6,494;10,462;13,369;15,975.0300
;;Российская Федерация;7,031;11,605;16,627;19,339.1800
;;Ростовская область;5,011;9,08;12,166;14,304.1900
;;Рязанская область;4,565;8,456;11,11;14,23
;;Самарская область;5,819;11,113;14,452;17,000.6800
;;Саратовская область;4,573;7,36;12,175;13,563.7500
;;Сахалинская область;12,23;22,154;30,799;32,983.6300
;;Свердловская область;9,034;16,764;18,383;25,002.9500
;;Северо-Западный федеральный округ;8,769;14,036;20,894;24,888.5900
;;Северо-Кавказский федеральный округ;4,756;6,943;9,682;12,148.7200
;;Сибирский федеральный округ;6,759;10,496;14,364;17,080.7400
;;Смоленская область;4,776;7,308;11,313;11,021.9400
;;Ставропольский край;5,61;8,967;12,38;15,152.3200
;;Тамбовская область;4,056;7,156;9,787;12,404.2000
;;Тверская область;5,625;9,379;12,746;13,804.8400
;;Томская область;6,592;12,127;15,182;20,323.7300
;;Тульская область;6,121;10,225;12,989;15,013.3100
;;Тюменская область;12,247;22,048;29,238;38,069.2600
;;Тюменская область (без АО);;;;35,751.2800
;;Тюменская область (частично);;;26,767.3800;
;;Удмуртская Республика;6,582;9,699;14,453;12,343.2300
;;Ульяновская область;4,575;7,059;12,015;12,980.2600
;;Уральский федеральный округ;8,859;16,044;19,583;26,508.4500
;;Хабаровский край;9,466;12,035;21,372;23,581.9200
;;Ханты-Мансийский автономный округ-Югра;14,609;25,281;30,645;37,314.5100
;;Центральный федеральный округ;8,121;14,4;22,032;23,411.3200
;;Челябинская область;6,888;11,014;13,381;17,857.6100
;;Чеченская Республика;;;8,074;9,498.2300
;;Чувашская Республика;5,386;8,67;10,673;12,720.8900
;;Чукотский автономный округ;15,849;29,941;40,736;39,234.3800
;;Южный федеральный  округ (с 2010 года);;;;14,450.7600
;;Южный федеральный округ (по 2009 год);5,36;8,534;11,881;
;;Ямало-Ненецкий автономный округ;18,736;29,067;33,42;53,210.9500
;;Ярославская область;7,111;10,548;12,749;15,344.7000
Раздел Е Производство и распределение электроэнергии,  газа и воды;Всего;Алтайский край;6,171;8,8;14,175;17,650.1600
;;Амурская область;11,061;17,055;19,326;33,375.5800
;;Архангельская область;10,931;16,176;21,443;24,264.0400
;;Архангельская область (без АО);;;;22,342.0800
;;Астраханская область;6,549;10,423;15,078;18,878.8500
;;Белгородская область;8,801;13,923;16,763;21,453.6400
;;Брянская область;7,919;9,39;11,663;14,445.1600
;;Владимирская область;7,325;10,844;16,664;19,391.7000
;;Волгоградская область;8,43;12,551;17,122;19,668.5700
;;Вологодская область;10,2;14,089;18,365;22,038.3400
;;Воронежская область;8,931;12,665;21,124;25,510.1300
;;г.Москва;21,512;30,93;43,452;58,431.7300
;;г.Санкт-Петербург;13,536;13,083;29,05;38,017.2400
;;Дальневосточный федеральный округ;12,689;18,271;24,619;32,005.5000
;;Еврейская автономная область;9,253;12,562;19,755;25,597.1400
;;Забайкальский край;10,03;13,096;21,512;22,714.9300
;;Ивановская область;9,473;11,727;15,721;21,082.8600
;;Иркутская область;12,261;16,233;23,766;29,241.6000
;;Кабардино-Балкарская Республика;5,132;7,011;13,265;15,977.8900
;;Калининградская область;9,195;12,394;17,437;19,412
;;Калужская область;6,723;10,989;16,237;17,379.6200
;;Камчатский край;16,45;24,837;35,452;43,958.4400
;;Карачаево-Черкесская Республика;7,551;;16,577;21,139.8800
;;Кемеровская область;9,585;14,163;16,376;22,746.8600
;;Кировская область;7,763;12,797;16,187;20,894.7500
;;Костромская область;8,287;13,558;16,639;19,337.5100
;;Краснодарский край;7,906;11,635;17,374;20,658.9200
;;Красноярский край;14,562;19,765;25,182;32,125.0500
;;Курганская область;6,643;9,795;12,316;14,476.7700
;;Курская область;8,59;16,625;22,088;20,491.1800
;;Ленинградская область;10,593;16,44;27,747;29,841.3900
;;Липецкая область;8,704;11,672;15,693;18,817.6600
;;Магаданская область;13,391;21,069;31,737;38,472.7600
;;Московская область;11,985;19,34;15,968;29,977.9700
;;Мурманская область;18,913;28,009;34,737;45,739.3300
;;Ненецкий авт.округ;19,634;;34,435;41,006.8000
;;Нижегородская область;9,824;13,727;20,236;26,692.2700
;;Новгородская область;9,82;13,194;18,034;18,269.9300
;;Новосибирская область;8,473;14,396;21,306;25,866.8000
;;Омская область;10,487;14,2;18,155;22,391.2300
;;Оренбургская область;8,912;14,109;18,165;20,211.3800
;;Орловская область;7,262;11,315;14,795;18,625.8600
;;Пензенская область;6,475;10,697;14,893;17,197.0400
;;Пермский край;10,503;14,52;18,577;24,073.7200
;;Приволжский федеральный округ;9,142;13,541;18,417;22,084.8900
;;Приморский край;10,89;15,242;20,496;24,467.0300
;;Псковская область;7,452;10,673;14,166;16,877.6600
;;Республика Адыгея;5,882;9,197;13,167;16,052.4900
;;Республика Алтай;6,335;10,063;13,986;17,041.3000
;;Республика Башкортостан;9,129;16,333;20,421;20,654.5200
;;Республика Бурятия;11,643;14,793;20,396;25,606.8200
;;Республика Дагестан;5,042;8,311;12,806;14,137.3100
;;Республика Ингушетия;5,156;4,745;11,791;15,178.9400
;;Республика Калмыкия;4,802;7,979;10,267;14,726.2500
;;Республика Карелия;12,472;16,249;21,463;30,997.8300
;;Республика Коми;11,004;17,479;22,269;28,137.1800
;;Республика Марий Эл;6,522;10,312;14,932;18,728.7100
;;Республика Мордовия;7,137;11,01;15,06;19,190.8900
;;Республика Саха (Якутия);11,729;18,188;23,269;31,722.7000
;;Республика Северная Осетия - Алания;6,053;9,007;14,531;18,055.1400
;;Республика Татарстан;10,306;15,097;21,604;26,664.7600
;;Республика Тыва;6,416;11,073;17,158;23,700.2300
;;Республика Хакасия;11,987;15,824;23,176;20,293.3800
;;Российская Федерация;10,583;15,857;21,616;26,658.7400
;;Ростовская область;8,246;14,647;20,16;18,009.7100
;;Рязанская область;10,716;13,798;17,226;22,060.7700
;;Самарская область;11,616;15,098;18,034;23,366.7200
;;Саратовская область;8,572;11,773;18,67;20,475.7800
;;Сахалинская область;15,151;18,818;28,309;34,269.0400
;;Свердловская область;9,607;15,469;21,194;26,174.3600
;;Северо-Западный федеральный округ;11,811;17,945;24,439;29,766.7700
;;Северо-Кавказский федеральный округ;7,101;10,113;14,741;19,408.5000
;;Сибирский федеральный округ;10,676;15,079;20,406;25,569.2000
;;Смоленская область;9,449;14,824;22,113;26,596.9600
;;Ставропольский край;8,272;11,384;15,695;20,363.4500
;;Тамбовская область;7,568;11,591;14,925;18,242.0100
;;Тверская область;9,951;14,774;21,191;26,529.3900
;;Томская область;14,44;15,866;22,514;27,352.0400
;;Тульская область;8,626;11,695;16,975;21,767.0700
;;Тюменская область;18,498;27,336;34,907;42,203.3200
;;Тюменская область (без АО);;;;27,649.4700
;;Тюменская область (частично);;;21,037.9600;
;;Удмуртская Республика;7,323;11,05;15,786;18,776.2000
;;Ульяновская область;6,93;10,754;14,118;17,857.3200
;;Уральский федеральный округ;12,848;19,853;25,793;31,953.1100
;;Хабаровский край;13,265;19,321;25,195;31,755.7400
;;Ханты-Мансийский автономный округ-Югра;19,928;29,155;35,847;42,592.4500
;;Центральный федеральный округ;11,227;16,956;23,64;29,626.0900
;;Челябинская область;8,591;13,27;18,148;24,591.6000
;;Чеченская Республика;;;12,427;26,410.2600
